candidate,nearest_existing_well,nearest_completion_distance_IJ_cells,I,J,K,X,Y,Depth,PORO,PORV,NTG,PERMX,PERMY,PERMZ,SATNUM,PRESSURE_initial,PRESSURE_final,DELTA_PRESSURE,SWAT_initial,SWAT_final,DELTA_SWAT,SGAS_initial,SGAS_final,SOIL_initial,SOIL_final,OIL_PV_PROXY
ALT_66_32,P-F-10,5.0,66,32,45,435406.84708739683,6478063.159298648,2964.024383544922,0.25356218218803406,838.8440551757812,1.0,1716.918701171875,1716.918701171875,686.7675170898438,2.0,329.0556640625,370.6762390136719,41.620574951171875,0.12734201550483704,0.7201834321022034,0.5928414165973663,0.0,0.0,0.872657984495163,0.27981656789779663,234.72246452075706
ALT_66_32,P-F-10,5.0,66,32,46,435407.16377355275,6478062.896082833,2965.281005859375,0.2521305978298187,554.4974975585938,1.0,143.56253051757812,143.56253051757812,28.712507247924805,1.0,329.14312744140625,370.8073425292969,41.664215087890625,0.22218038141727448,0.7430915832519531,0.5209112018346786,0.0,0.0,0.7778196185827255,0.2569084167480469,142.4550741885323
ALT_66_32,P-F-10,5.0,66,32,47,435407.41665322555,6478062.685780749,2966.2839965820312,0.2527216672897339,556.2430419921875,1.0,311.3685607910156,311.3685607910156,62.273712158203125,1.0,329.213623046875,370.9119873046875,41.6983642578125,0.1925918310880661,0.7280601263046265,0.5354682952165604,0.0,0.0,0.8074081689119339,0.27193987369537354,151.26466258328583
ALT_66_32,P-F-10,5.0,66,32,49,435407.83687422506,6478062.336371612,2967.9508666992188,0.23691429197788239,168.8071746826172,1.0,156.88677978515625,156.88677978515625,62.75471115112305,1.0,329.3311462402344,371.1010437011719,41.7698974609375,0.21878840029239655,0.42342710494995117,0.20463870465755463,0.0,0.0,0.7812115997076035,0.5765728950500488,97.3296414119759
ALT_66_32,P-F-10,5.0,66,32,50,435407.91861231637,6478062.268510353,2968.275360107422,0.12999999523162842,92.79498291015625,1.0,19.645610809326172,19.645610809326172,3.92912220954895,1.0,329.3539123535156,371.1334533691406,41.779541015625,0.2981926202774048,0.6506619453430176,0.3524693250656128,0.0,0.0,0.7018073797225952,0.3493380546569824,32.416818811761914
ALT_66_32,P-F-10,5.0,66,32,51,435408.0003908842,6478062.200611177,2968.6000061035156,0.18629887700080872,132.91357421875,1.0,36.083953857421875,36.083953857421875,7.216790676116943,1.0,329.376708984375,371.1668395996094,41.790130615234375,0.2749563455581665,0.6364943981170654,0.3615380525588989,0.0,0.0,0.7250436544418335,0.36350560188293457,48.314828794798814
ALT_66_32,P-F-10,5.0,66,32,52,435408.16493704554,6478062.063812492,2969.2527465820312,0.1893838495016098,408.6604309082031,1.0,241.9766082763672,241.9766082763672,72.59298706054688,1.0,329.422119140625,371.2348327636719,41.812713623046875,0.20222795009613037,0.6923018097877502,0.4900738596916199,0.0,0.0,0.7977720499038696,0.30769819021224976,125.74407500181223
ALT_66_32,P-F-10,5.0,66,32,54,435408.65965165274,6478061.652354801,2971.2147827148438,0.1895272135734558,409.6100158691406,1.0,181.67311096191406,181.67311096191406,54.50193405151367,1.0,329.56011962890625,371.4722900390625,41.91217041015625,0.21318241953849792,0.3949899971485138,0.18180757761001587,0.0,0.0,0.7868175804615021,0.6050100028514862,247.81815686898608
ALT_66_32,P-F-10,5.0,66,32,55,435408.8725249639,6478061.475357247,2972.059112548828,0.12999999523162842,202.83888244628906,1.0,39.7873420715332,39.7873420715332,7.957468509674072,1.0,329.61981201171875,371.5481872558594,41.928375244140625,0.27122244238853455,0.5349430441856384,0.2637206017971039,0.0,0.0,0.7287775576114655,0.4650569558143616,94.33163319125833
ALT_66_32,P-F-10,5.0,66,32,56,435409.0510355384,6478061.326994985,2972.7672424316406,0.16579510271549225,259.1106872558594,1.0,44.202720642089844,44.202720642089844,8.840544700622559,1.0,329.669677734375,371.6142883300781,41.944610595703125,0.2672004699707031,0.500525712966919,0.23332524299621582,0.0,0.0,0.7327995300292969,0.49947428703308105,129.419125779772
ALT_66_32,P-F-10,5.0,66,32,57,435409.2295224317,6478061.17865194,2973.4752807617188,0.19091036915779114,298.1087341308594,1.0,156.23463439941406,156.23463439941406,31.24692726135254,1.0,329.7193603515625,371.68280029296875,41.96343994140625,0.2189476042985916,0.5377137660980225,0.31876616179943085,0.0,0.0,0.7810523957014084,0.46228623390197754,137.8115639946409
ALT_66_32,P-F-10,5.0,66,32,58,435409.5553882731,6478060.907870591,2974.7684020996094,0.2271859496831894,943.03173828125,1.0,499.4505615234375,499.4505615234375,149.83517456054688,1.0,329.81011962890625,371.8172302246094,42.007110595703125,0.1745326668024063,0.6630157828330994,0.48848311603069305,0.0,0.0,0.8254673331975937,0.33698421716690063,317.78681208824855
ALT_66_32,P-F-10,5.0,66,32,59,435410.0287339277,6478060.514565099,2976.647003173828,0.22045224905014038,916.3320922851562,1.0,400.57666015625,400.57666015625,120.17300415039062,1.0,329.9423828125,372.01336669921875,42.07098388671875,0.18296365439891815,0.6857361197471619,0.5027724653482437,0.0,0.0,0.8170363456010818,0.31426388025283813,287.97007892173497
ALT_66_32,P-F-10,5.0,66,32,60,435410.50202569924,6478060.1213048035,2978.525390625,0.19815105199813843,824.7600708007812,1.0,400.02978515625,400.02978515625,120.00894165039062,1.0,330.0741271972656,372.2095031738281,42.1353759765625,0.1830158829689026,0.7048982381820679,0.5218823552131653,0.0,0.0,0.8169841170310974,0.29510176181793213,243.388149970393
